ISO,Scores,Old_Scores,comment
MKD,23.67601776123047,23.541810989379883,
USA,22.861480712890625,20.515260696411133,
SWE,22.683565139770508,22.988859176635742,
SAU,16.015151977539062,14.57351303100586,
GBR,10.318862915039062,12.668237686157227,
QAT,9.437241554260254,9.450166702270508,
RUS,9.171248435974121,13.340680122375488,suspected misreporting
ROU,6.665156364440918,7.638690948486328,
CAN,5.483163833618164,7.518435478210449,
BEL,5.13265323638916,4.415292263031006,
ALB,4.452578544616699,2.8480072021484375,suspected misreporting
BGR,3.8930814266204834,4.174886703491211,
ESP,3.8151936531066895,3.4520487785339355,different model used
ARE,3.3302667140960693,3.554269790649414,
POL,3.1034626960754395,3.1922242641448975,
TUR,2.6339657306671143,2.3935437202453613,suspected misreporting
ITA,2.6294944286346436,5.114896297454834,
ISR,2.6048641204833984,1.9523423910140991,
FRA,2.4392483234405518,3.6631593704223633,
SRB,2.2626614570617676,2.1774513721466064,suspected misreporting
CZE,2.2266268730163574,1.5455002784729004,
DEU,2.186645269393921,2.205437183380127,
DNK,2.15608286857605,2.0878190994262695,
AUT,1.9094388484954834,1.8432960510253906,
MNE,1.7907652854919434,0.2041027545928955,
NLD,1.6609405279159546,2.9521358013153076,
NOR,1.5820947885513306,1.2306225299835205,
HRV,1.4711710214614868,-0.08903694152832031,
SVN,1.3011510372161865,0.09599494934082031,
CHE,1.0586137771606445,1.1849467754364014,
LBN,0.9444823265075684,0.7076442241668701,
LTU,0.42009496688842773,0.8223536014556885,
FIN,0.3677647113800049,0.7778797149658203,
HUN,0.3598635196685791,0.6858923435211182,
CYP,0.34180402755737305,0.8634531497955322,
LVA,0.3417026996612549,1.20609712600708,
JPN,0.11675000190734863,0.054384469985961914,
NZL,0.11540627479553223,0.0836641788482666,
KOR,0.09463644027709961,0.14509177207946777,
AUS,0.08568286895751953,0.06781458854675293,
EST,0.07106471061706543,0.7610588073730469,
SVK,0.0683891773223877,0.28745055198669434,
CHN,0.04460620880126953,0.044350385665893555,suspected misreporting
MLT,-0.046861886978149414,2.033393144607544,
