Country,Scores,thresholds,flagged
PE,23.726362228393555,0.5,True
MX,23.722286224365234,0.4999141038986701,True
BR,23.68437194824219,0.499115113396922,True
MK,23.67601776123047,0.4989390605547015,True
CL,23.47170448303223,0.49463344311045343,True
US,22.861480712890625,0.48177382804878705,True
BO,22.78407287597656,0.48014256582306264,True
SE,22.68356513977051,0.4780245054301852,True
PA,22.30443572998047,0.4700348817756931,True
MD,21.361391067504886,0.4501615304924729,False
AM,20.926586151123047,0.4409986231703065,False
IQ,18.070615768432614,0.38081302971104736,True
CO,17.656888961791992,0.37209431416042854,True
EC,17.02657127380371,0.358811247799038,True
SA,16.015151977539062,0.33749699645008335,True
ZA,15.259145736694336,0.32156521909695823,True
BH,12.86501407623291,0.2711122327222424,True
HN,12.295267105102539,0.25910560975901903,True
GT,11.578863143920898,0.2440083952285017,True
MR,11.576044082641602,0.24394898744293053,True
AR,10.782793998718262,0.227232348029619,True
IR,10.436175346374512,0.2199278432554116,True
GB,10.318862915039062,0.217455647345095,True
EG,10.078048706054688,0.21238082368130995,True
DO,9.630171775817873,0.20294244189472413,True
QA,9.437241554260254,0.19887670649667946,True
RU,9.17124843597412,0.19327127242875022,True
AZ,8.482094764709473,0.1787483197605167,True
KW,8.405327796936035,0.17713056295830515,True
SV,8.369233131408691,0.17636991821260223,True
SR,7.7243852615356445,0.16278064852882929,True
BY,7.369202613830566,0.15529566949398957,False
GA,7.3530073165893555,0.15495437618730157,True
RO,6.665156364440918,0.1404588765079348,False
BA,5.9580583572387695,0.1255577719813429,False
UA,5.574274063110352,0.11747005313017532,False
CA,5.483163833618164,0.11555003208743926,False
CF,5.185373306274414,0.10927451196182596,True
BE,5.13265323638916,0.1081635100016906,False
AL,4.452578544616699,0.093831884166555,False
DJ,4.3021440505981445,0.09066168697048993,True
ES,4.198920249938965,0.08848638930653428,False
AF,4.038468837738037,0.08510509952733429,True
OM,3.9938015937805176,0.08416379964479129,True
PT,3.940338134765625,0.0830371317953282,False
BG,3.8930814266204834,0.08204126256577161,False
NP,3.71204137802124,0.07822609598320568,True
KZ,3.4744234085083012,0.07321862860945508,True
SZ,3.411827564239502,0.07189950847493462,True
CG,3.36934757232666,0.07100430187933596,True
PR,3.3457188606262207,0.070506359728049,True
AE,3.3302667140960693,0.07018072728634962,True
MC,3.2148962020874023,0.06774945461803888,False
AG,3.162493705749512,0.06664514507759067,True
PL,3.1034626960754395,0.06540114886136016,True
CV,2.8686003684997563,0.060451752798978936,True
IN,2.8298828601837163,0.05963583529878781,True
CI,2.823798656463623,0.059507619189180995,True
KG,2.771770715713501,0.05841120288546589,True
PK,2.729231834411621,0.057514755278108426,True
TR,2.6339657306671143,0.05550715498044246,True
IT,2.629494428634644,0.055412928524877364,False
IL,2.6048645973205566,0.05489388917369076,True
GU,2.5727171897888184,0.05421642738620133,True
BD,2.4856173992156982,0.052380920751541445,True
FR,2.439248323440552,0.05140375713647079,False
ST,2.427058696746826,0.051146877751076875,True
GH,2.322786808013916,0.048949493092418014,True
HT,2.288239002227783,0.04822144625882485,True
TC,2.2744197845458984,0.047930225515651945,True
RS,2.262661457061768,0.04768243515969803,False
CZ,2.2266268730163574,0.04692305654744942,False
DE,2.186645269393921,0.04608050000132643,False
LY,2.175900220870972,0.04585406308656648,True
DK,2.1560828685760502,0.04543644002020348,False
NI,2.103365421295166,0.044325493327798254,True
PH,2.0769209861755367,0.04376821373168758,True
LU,2.0510621070861816,0.04322327391241749,False
PS,2.0332820415496826,0.04284858382370213,True
CM,1.9856261014938357,0.041844301338315126,True
SN,1.9739367961883545,0.041597965528531934,True
AT,1.9094388484954836,0.04023876121663608,False
KM,1.8928202390670776,0.03988854719586811,True
DZ,1.8883650302886963,0.03979465988319256,False
IE,1.8648003339767456,0.03929806676695515,False
SG,1.8067132234573364,0.038073961909239215,True
JE,1.803265690803528,0.038001309965788675,True
VI,1.795374631881714,0.0378350169022787,True
ME,1.7907652854919434,0.0377378813543721,False
MV,1.7880070209503174,0.037679754775272564,True
CR,1.6758278608322144,0.035315735398044626,True
MA,1.6697102785110474,0.035186815880963195,False
NL,1.6609400510787964,0.03500199556700551,False
ID,1.637857437133789,0.03451556166443733,True
TJ,1.624836564064026,0.034241164920755726,True
VE,1.6146780252456665,0.03402708788019274,True
GW,1.5841529369354248,0.033383814208139635,True
NO,1.5820947885513306,0.03334044160082036,False
UZ,1.483187198638916,0.03125610205984237,True
HR,1.4711710214614868,0.031002877881146966,False
SD,1.4498941898345947,0.030554498322955995,True
GN,1.4179002046585083,0.02988026969768029,True
GQ,1.3586289882659912,0.02863121145980203,True
KY,1.315255641937256,0.027717178665578948,True
SI,1.3011510372161863,0.027419943788497988,False
BJ,1.30059552192688,0.0274082370783846,True
GY,1.2305676937103271,0.02593249824529981,True
KE,1.1678926944732666,0.02461171003019668,True
PY,1.0961663722991943,0.0231001778053317,True
YE,1.075064182281494,0.022655478575534745,True
IS,1.0622639656066897,0.02238573185769432,False
MW,1.059727907180786,0.022332287962640134,True
CH,1.0586137771606443,0.022308809226004978,False
UY,1.0010144710540771,0.021094984166096772,True
NG,0.9997379779815674,0.021068083854531475,True
LB,0.9444823265075684,0.01990364804802014,True
AD,0.8939518928527832,0.018838789618220168,False
LR,0.8809454441070557,0.018564696847054373,True
SM,0.8284006118774414,0.01745738777616079,False
MG,0.6029367446899414,0.012706051161277506,True
SS,0.5244603157043457,0.011052269847686959,True
RW,0.5192511081695557,0.010942493062593537,False
SL,0.5185000896453857,0.010926666394414478,True
GR,0.5056817531585693,0.010656537826802108,False
JM,0.4261126518249512,0.008979729967095805,True
LT,0.4200949668884277,0.008852915648099147,False
FI,0.3677644729614258,0.007750123458060475,False
HU,0.3598635196685791,0.007583621884477662,False
SO,0.34427618980407715,0.007255140642506054,True
CY,0.34180402755737305,0.0072030432703318725,False
LV,0.3417026996612549,0.007200907926212476,False
ET,0.3268892765045166,0.006888735688973955,True
ML,0.2989003658294678,0.006298908424144578,True
ZM,0.2696571350097656,0.005682648111286619,True
BN,0.260554313659668,0.005490818844278208,True
CW,0.2551112174987793,0.0053761131825233064,True
JO,0.2434709072113037,0.00513080987442609,True
MU,0.2299785614013672,0.004846477500165401,True
GE,0.17646145820617676,0.0037186791744038138,False
TG,0.1539137363433838,0.0032435173766165006,True
BW,0.14749646186828613,0.0031082822652807635,True
BM,0.14131498336791992,0.002978016225319341,True
BZ,0.14087581634521484,0.0029687613926889195,True
BT,0.11803889274597168,0.002487505071567892,True
JP,0.11675000190734865,0.002460343494369163,False
NZ,0.11540627479553225,0.002432026319176408,False
GM,0.10958242416381836,0.0023092967878716795,True
VC,0.09819889068603516,0.0020694046929899696,True
KR,0.0946364402770996,0.001994331018091077,False
BF,0.09408950805664062,0.0019828051841854384,True
BI,0.08629488945007324,0.0018185444658432163,True
AU,0.08568286895751953,0.0018056469873620588,False
LK,0.08533954620361328,0.0017984119390516316,True
ER,0.08192682266235353,0.0017264935491103427,True
NE,0.07701587677001953,0.0016230022122366052,True
MY,0.07633495330810547,0.0016086526997542575,True
EH,0.07208538055419922,0.001519098879556302,True
CU,0.07147002220153809,0.0015061310603276818,True
EE,0.07106471061706543,0.001497589683850094,False
SK,0.0683891773223877,0.0014412065504198057,False
CD,0.06377315521240234,0.0013439303210182895,True
TN,0.062075614929199226,0.0013081570265945103,False
TH,0.050617218017578125,0.001066687289233999,True
MM,0.049772024154663086,0.001048876007108676,True
VN,0.04909563064575195,0.0010346219570693134,True
KH,0.045958757400512695,0.0009685167274718884,True
CN,0.04460620880126953,0.0009400136517322675,True
SX,0.04429459571838379,0.0009334468405227339,True
SC,0.04429459571838379,0.0009334468405227339,True
TL,0.04429459571838379,0.0009334468405227339,True
TT,0.04429459571838379,0.0009334468405227339,True
VA,0.04429459571838379,0.0009334468405227339,False
VG,0.04429459571838379,0.0009334468405227339,True
TZ,0.04429459571838379,0.0009334468405227339,True
KN,0.04429459571838379,0.0009334468405227339,True
PF,0.04429459571838379,0.0009334468405227339,True
GL,0.04429459571838379,0.0009334468405227339,True
AI,0.04429459571838379,0.0009334468405227339,True
BQ,0.04429459571838379,0.0009334468405227339,True
BS,0.04429459571838379,0.0009334468405227339,True
BB,0.04429459571838379,0.0009334468405227339,True
DM,0.04429459571838379,0.0009334468405227339,True
FJ,0.04429459571838379,0.0009334468405227339,True
FK,0.04429459571838379,0.0009334468405227339,True
FO,0.04429459571838379,0.0009334468405227339,True
GG,0.04429459571838379,0.0009334468405227339,True
GI,0.04429459571838379,0.0009334468405227339,False
GD,0.04429459571838379,0.0009334468405227339,True
IM,0.04429459571838379,0.0009334468405227339,True
MS,0.04429459571838379,0.0009334468405227339,True
LA,0.04429459571838379,0.0009334468405227339,True
LC,0.04429459571838379,0.0009334468405227339,True
LI,0.04429459571838379,0.0009334468405227339,False
NC,0.04429459571838379,0.0009334468405227339,True
MP,0.04429459571838379,0.0009334468405227339,True
AO,0.03970932960510254,0.0008368187508656936,True
PG,0.038346290588378906,0.0008080946042054763,True
TW,0.0359342098236084,0.0007572633654856201,True
LS,0.02626323699951172,0.0005534610983912709,True
ZW,0.026251554489135742,0.0005532149057751523,True
UG,0.01805448532104492,0.0003804731030245958,True
TD,0.015813827514648438,0.00033325436412084877,True
MN,0.002320766448974609,4.890691684284678e-05,True
SY,-0.012336254119873049,-0.0002599693539431456,True
MZ,-0.013946294784545898,-0.0002938987159155869,True
MT,-0.04686188697814941,-0.0009875489239995956,False
AX,23.726362228393555,0.5,True
AS,23.726362228393555,0.5,True
AQ,23.726362228393555,0.5,True
AW,23.726362228393555,0.5,True
BV,23.726362228393555,0.5,True
IO,23.726362228393555,0.5,True
CX,23.726362228393555,0.5,True
CC,23.726362228393555,0.5,True
CK,23.726362228393555,0.5,True
GF,23.726362228393555,0.5,True
TF,23.726362228393555,0.5,True
GP,23.726362228393555,0.5,True
HM,23.726362228393555,0.5,True
HK,23.726362228393555,0.5,True
KI,23.726362228393555,0.5,True
KP,23.726362228393555,0.5,True
MO,23.726362228393555,0.5,True
MH,23.726362228393555,0.5,True
MQ,23.726362228393555,0.5,True
YT,23.726362228393555,0.5,True
FM,23.726362228393555,0.5,True
NR,23.726362228393555,0.5,True
NU,23.726362228393555,0.5,True
NF,23.726362228393555,0.5,True
PW,23.726362228393555,0.5,True
PN,23.726362228393555,0.5,True
RE,23.726362228393555,0.5,True
BL,23.726362228393555,0.5,True
SH,23.726362228393555,0.5,True
MF,23.726362228393555,0.5,True
PM,23.726362228393555,0.5,True
WS,23.726362228393555,0.5,True
SB,23.726362228393555,0.5,True
GS,23.726362228393555,0.5,True
SJ,23.726362228393555,0.5,True
TK,23.726362228393555,0.5,True
TO,23.726362228393555,0.5,True
TM,23.726362228393555,0.5,True
TV,23.726362228393555,0.5,True
UM,23.726362228393555,0.5,True
VU,23.726362228393555,0.5,True
WF,23.726362228393555,0.5,True
